"","Description","spID","MW","retinaKO","retinaWT","testisKO","testisWT"
"491","Cleavage and polyadenylation specificity factor subunit 2 OS=Mus musculus GN=Cpsf2 PE=1 SV=1","O35218",88,28,26,68,64
"492","Cleavage and polyadenylation specificity factor subunit 3 OS=Mus musculus GN=Cpsf3 PE=1 SV=2","Q9QXK7",78,5,4,42,38
"493","Cleavage and polyadenylation specificity factor subunit 4 OS=Mus musculus GN=Cpsf4 PE=2 SV=1","Q8BQZ5",24,8,7,20,15
"494","Cleavage and polyadenylation specificity factor subunit 5 OS=Mus musculus GN=Nudt21 PE=1 SV=1","Q9CQF3",26,29,30,34,39
"495","Cleavage and polyadenylation specificity factor subunit 6 OS=Mus musculus GN=Cpsf6 PE=1 SV=1","Q6NVF9",59,33,33,13,14
"496","Cleavage and polyadenylation specificity factor subunit 7 OS=Mus musculus GN=Cpsf7 PE=1 SV=2","Q8BTV2",52,29,29,26,22
"497","Cleavage stimulation factor subunit 1 OS=Mus musculus GN=Cstf1 PE=1 SV=1","Q99LC2",48,17,18,42,32
"498","Cleavage stimulation factor subunit 2 tau variant OS=Mus musculus GN=Cstf2t PE=1 SV=2","Q8C7E9",66,0,0,20,12
"499","Cleavage stimulation factor subunit 3 OS=Mus musculus GN=Cstf3 PE=1 SV=1","Q99LI7",83,16,19,74,61
"500","CLIP-associating protein 2 OS=Mus musculus GN=Clasp2 PE=1 SV=1","Q8BRT1",141,0,6,0,0
"501","Clusterin OS=Mus musculus GN=Clu PE=1 SV=1","Q06890",52,0,0,7,9
"502","Clusterin-associated protein 1 OS=Mus musculus GN=Cluap1 PE=1 SV=1","Q8R3P7",48,0,0,7,9
"503","Coatomer subunit alpha OS=Mus musculus GN=Copa PE=1 SV=2","Q8CIE6",138,56,66,50,60
"504","Coatomer subunit beta OS=Mus musculus GN=Copb1 PE=1 SV=1","Q9JIF7",107,13,13,17,26
"505","Coatomer subunit beta' OS=Mus musculus GN=Copb2 PE=1 SV=2","O55029",102,13,17,11,9
"506","Coatomer subunit delta OS=Mus musculus GN=Arcn1 PE=1 SV=2","Q5XJY5",57,2,4,8,9
"507","Coatomer subunit epsilon OS=Mus musculus GN=Cope PE=1 SV=3","O89079",35,13,17,15,12
"508","Coatomer subunit gamma-1 OS=Mus musculus GN=Copg1 PE=1 SV=1","Q9QZE5",98,2,10,6,11
"509","Coatomer subunit gamma-2 OS=Mus musculus GN=Copg2 PE=1 SV=1","Q9QXK3",98,3,5,18,20
"510","Cofilin-1 OS=Mus musculus GN=Cfl1 PE=1 SV=3","P18760",19,5,5,0,2
"511","Coiled-coil domain-containing protein 136 OS=Mus musculus GN=Ccdc136 PE=1 SV=2","Q3TVA9",132,0,0,5,8
"512","Coiled-coil domain-containing protein 177 OS=Mus musculus GN=Ccdc177 PE=1 SV=1","Q3UHB8",80,11,10,0,0
"513","Coiled-coil domain-containing protein 66 OS=Mus musculus GN=Ccdc66 PE=1 SV=3","Q6NS45",107,2,0,0,0
"514","Coiled-coil domain-containing protein 87 OS=Mus musculus GN=Ccdc87 PE=2 SV=2","Q8CDL9",98,0,0,2,2
"515","Cold shock domain-containing protein E1 OS=Mus musculus GN=Csde1 PE=1 SV=1","Q91W50",89,5,7,18,20
"516","Cold-inducible RNA-binding protein OS=Mus musculus GN=Cirbp PE=1 SV=1","P60824",19,17,22,20,20
"517","Collagen alpha-1(IV) chain OS=Mus musculus GN=Col4a1 PE=1 SV=4","P02463",161,0,3,0,0
"518","Collagen alpha-1(XII) chain OS=Mus musculus GN=Col12a1 PE=2 SV=3","Q60847",340,5,0,14,18
"519","Collagen alpha-1(XIV) chain OS=Mus musculus GN=Col14a1 PE=1 SV=2","Q80X19",193,0,0,3,0
"520","Collagen alpha-1(XVIII) chain OS=Mus musculus GN=Col18a1 PE=1 SV=4","P39061",182,7,5,0,0
"521","Collagen alpha-2(IV) chain OS=Mus musculus GN=Col4a2 PE=1 SV=4","P08122",167,0,2,0,0
"522","Complement C1q subcomponent subunit A OS=Mus musculus GN=C1qa PE=1 SV=2","P98086",26,0,0,3,0
"523","Complement C1q subcomponent subunit C OS=Mus musculus GN=C1qc PE=1 SV=2","Q02105",26,0,0,0,2
"524","Complement factor H OS=Mus musculus GN=Cfh PE=1 SV=2","P06909",139,0,0,2,5
"525","Cone-rod homeobox protein OS=Mus musculus GN=Crx PE=1 SV=1","O54751",32,4,5,0,0
"526","Connector enhancer of kinase suppressor of ras 2 OS=Mus musculus GN=Cnksr2 PE=1 SV=1","Q80YA9",117,3,2,0,0
"527","Constitutive coactivator of peroxisome proliferator-activated receptor gamma OS=Mus musculus GN=Fam120b PE=1 SV=1","Q6RI63",89,14,9,7,7
"528","Constitutive coactivator of PPAR-gamma-like protein 1 OS=Mus musculus GN=FAM120A PE=1 SV=2","Q6A0A9",122,80,88,8,15
"529","Constitutive coactivator of PPAR-gamma-like protein 2 OS=Mus musculus GN=Fam120c PE=1 SV=3","Q8C3F2",120,60,67,0,0
"530","Contactin-associated protein 1 OS=Mus musculus GN=Cntnap1 PE=1 SV=2","O54991",156,11,13,0,0
"531","Copine-9 OS=Mus musculus GN=Cpne9 PE=1 SV=1","Q1RLL3",62,0,0,2,3
"532","Core histone macro-H2A.1 OS=Mus musculus GN=H2afy PE=1 SV=3","Q9QZQ8",40,8,8,0,0
"533","Coronin-2A OS=Mus musculus GN=Coro2a PE=2 SV=1","Q8C0P5",60,0,0,5,3
"534","Coronin-2B OS=Mus musculus GN=Coro2b PE=1 SV=2","Q8BH44",55,51,41,0,0
"535","COUP transcription factor 2 OS=Mus musculus GN=Nr2f2 PE=1 SV=2","P43135",46,0,4,0,0
"536","Creatine kinase B-type OS=Mus musculus GN=Ckb PE=1 SV=1","Q04447",43,6,3,0,0
"537","Creatine kinase M-type OS=Mus musculus GN=Ckm PE=1 SV=1","P07310",43,2,0,0,0
"538","Creatine kinase U-type, mitochondrial OS=Mus musculus GN=Ckmt1 PE=1 SV=1","P30275",47,30,37,0,0
"539","CREB-binding protein OS=Mus musculus GN=Crebbp PE=1 SV=3","P45481",265,25,30,0,0
"540","CREB-regulated transcription coactivator 3 OS=Mus musculus GN=Crtc3 PE=1 SV=2","Q91X84",67,0,0,3,2
"541","Crooked neck-like protein 1 OS=Mus musculus GN=Crnkl1 PE=1 SV=1","P63154",83,11,13,0,0
"542","CST complex subunit CTC1 OS=Mus musculus GN=Ctc1 PE=1 SV=2","Q5SUQ9",134,0,2,4,2
"543","CST complex subunit STN1 OS=Mus musculus GN=Stn1 PE=1 SV=2","Q8K2X3",43,2,3,2,0
"544","CTP synthase 1 OS=Mus musculus GN=Ctps1 PE=1 SV=2","P70698",67,0,0,34,34
"545","CUGBP Elav-like family member 2 OS=Mus musculus GN=Celf2 PE=1 SV=1","Q9Z0H4",54,0,2,0,0
"546","CUGBP Elav-like family member 4 OS=Mus musculus GN=Celf4 PE=1 SV=2","Q7TSY6",52,0,2,0,0
"547","Cullin-1 OS=Mus musculus GN=Cul1 PE=1 SV=1","Q9WTX6",90,6,3,9,9
"548","Cullin-2 OS=Mus musculus GN=Cul2 PE=1 SV=2","Q9D4H8",87,0,0,0,4
"549","Cullin-3 OS=Mus musculus GN=Cul3 PE=1 SV=1","Q9JLV5",89,7,5,21,23
"550","Cullin-4A OS=Mus musculus GN=Cul4a PE=1 SV=1","Q3TCH7",88,0,0,3,4
"551","Cullin-4B OS=Mus musculus GN=Cul4b PE=1 SV=1","A2A432",111,3,0,0,0
"552","Cullin-5 OS=Mus musculus GN=Cul5 PE=1 SV=3","Q9D5V5",91,26,33,19,18
"553","Cullin-7 OS=Mus musculus GN=Cul7 PE=1 SV=2","Q8VE73",192,0,0,3,4
"554","Cullin-9 OS=Mus musculus GN=Cul9 PE=1 SV=2","Q80TT8",209,5,16,3,12
"555","Cullin-associated NEDD8-dissociated protein 1 OS=Mus musculus GN=Cand1 PE=1 SV=2","Q6ZQ38",136,0,2,13,19
"556","Cullin-associated NEDD8-dissociated protein 2 OS=Mus musculus GN=Cand2 PE=1 SV=2","Q6ZQ73",136,0,0,0,3
"557","CWF19-like protein 2 OS=Mus musculus GN=Cwf19l2 PE=1 SV=1","Q8BG79",103,2,0,0,0
"558","CXXC-type zinc finger protein 1 OS=Mus musculus GN=Cxxc1 PE=2 SV=1","Q9CWW7",76,9,6,0,0
"559","Cyclin-C OS=Mus musculus GN=Ccnc PE=2 SV=4","Q62447",33,4,3,0,3
"560","Cyclin-dependent kinase 13 OS=Mus musculus GN=Cdk13 PE=1 SV=3","Q69ZA1",165,6,11,0,0
"561","Cyclin-dependent kinase 16 OS=Mus musculus GN=Cdk16 PE=1 SV=1","Q04735",56,0,0,4,3
"562","Cyclin-dependent kinase 19 OS=Mus musculus GN=Cdk19 PE=2 SV=1","Q8BWD8",57,2,0,0,0
"563","Cyclin-dependent kinase 7 OS=Mus musculus GN=Cdk7 PE=1 SV=2","Q03147",39,0,0,4,3
"564","Cyclin-dependent kinase 9 OS=Mus musculus GN=Cdk9 PE=1 SV=1","Q99J95",43,4,6,0,4
"565","Cyclin-dependent-like kinase 5 OS=Mus musculus GN=Cdk5 PE=1 SV=1","P49615",33,0,0,7,4
"566","Cyclin-G-associated kinase OS=Mus musculus GN=Gak PE=1 SV=2","Q99KY4",144,4,5,0,0
"567","Cyclin-H OS=Mus musculus GN=Ccnh PE=1 SV=2","Q61458",38,0,0,3,2
"568","Cyclin-T1 OS=Mus musculus GN=Ccnt1 PE=1 SV=3","Q9QWV9",81,6,7,0,0
"569","Cysteine and glycine-rich protein 1 OS=Mus musculus GN=Csrp1 PE=1 SV=3","P97315",21,3,5,15,13
"570","Cysteine and glycine-rich protein 2 OS=Mus musculus GN=Csrp2 PE=1 SV=3","P97314",21,0,0,4,0
"571","Cysteine desulfurase, mitochondrial OS=Mus musculus GN=Nfs1 PE=1 SV=3","Q9Z1J3",51,0,0,6,10
"572","Cytochrome b-c1 complex subunit 2, mitochondrial OS=Mus musculus GN=Uqcrc2 PE=1 SV=1","Q9DB77",48,9,9,3,2
"573","Cytochrome b-c1 complex subunit 8 OS=Mus musculus GN=Uqcrq PE=1 SV=3","Q9CQ69",10,3,4,3,3
"574","Cytochrome b-c1 complex subunit Rieske, mitochondrial OS=Mus musculus GN=Uqcrfs1 PE=1 SV=1","Q9CR68",29,3,5,12,11
"575","Cytochrome c oxidase subunit 2 OS=Mus musculus GN=Mtco2 PE=1 SV=1","P00405",26,0,0,0,2
"576","Cytochrome c oxidase subunit NDUFA4 OS=Mus musculus GN=Ndufa4 PE=1 SV=2","Q62425",9,4,4,2,2
"577","Cytochrome c1, heme protein, mitochondrial OS=Mus musculus GN=Cyc1 PE=1 SV=1","Q9D0M3",35,2,3,2,2
"578","Cytohesin-2 OS=Mus musculus GN=Cyth2 PE=1 SV=2","P63034",47,6,6,0,0
"579","Cytoplasmic dynein 1 heavy chain 1 OS=Mus musculus GN=Dync1h1 PE=1 SV=2","Q9JHU4",532,113,204,39,63
"580","Cytoplasmic dynein 1 intermediate chain 2 OS=Mus musculus GN=Dync1i2 PE=1 SV=1","O88487",68,2,4,2,0
"581","Cytoplasmic dynein 1 light intermediate chain 2 OS=Mus musculus GN=Dync1li2 PE=1 SV=2","Q6PDL0",54,0,0,5,4
"582","Cytoplasmic dynein 2 heavy chain 1 OS=Mus musculus GN=Dync2h1 PE=1 SV=1","Q45VK7",492,0,4,32,57
"583","Cytoplasmic FMR1-interacting protein 1 OS=Mus musculus GN=Cyfip1 PE=1 SV=1","Q7TMB8",145,0,15,9,15
"584","Cytoplasmic FMR1-interacting protein 2 OS=Mus musculus GN=Cyfip2 PE=1 SV=2","Q5SQX6",146,10,21,0,0
"585","Cytoplasmic polyadenylation element-binding protein 2 OS=Mus musculus GN=Cpeb2 PE=1 SV=1","Q812E0",58,23,22,9,10
"586","Cytoplasmic polyadenylation element-binding protein 3 OS=Mus musculus GN=Cpeb3 PE=1 SV=1","Q7TN99",78,24,25,14,12
"587","Cytoplasmic polyadenylation element-binding protein 4 OS=Mus musculus GN=Cpeb4 PE=1 SV=1","Q7TN98",80,24,22,0,0
"588","Cytosolic 10-formyltetrahydrofolate dehydrogenase OS=Mus musculus GN=Aldh1l1 PE=1 SV=1","Q8R0Y6",99,0,0,2,2
"589","Cytosolic 5'-nucleotidase 1B OS=Mus musculus GN=Nt5c1b PE=2 SV=2","Q91YE9",65,0,0,13,9
"590","Cytosolic acyl coenzyme A thioester hydrolase OS=Mus musculus GN=Acot7 PE=1 SV=2","Q91V12",43,0,0,2,2
"591","Cytosolic carboxypeptidase 6 OS=Mus musculus GN=Agbl4 PE=1 SV=1","Q09LZ8",62,0,0,2,0
"592","Cytosolic endo-beta-N-acetylglucosaminidase OS=Mus musculus GN=Engase PE=1 SV=1","Q8BX80",83,5,6,2,5
"593","D-3-phosphoglycerate dehydrogenase OS=Mus musculus GN=Phgdh PE=1 SV=3","Q61753",57,0,0,4,2
"594","D-beta-hydroxybutyrate dehydrogenase, mitochondrial OS=Mus musculus GN=Bdh1 PE=1 SV=2","Q80XN0",38,6,7,2,2
"595","DAZ-associated protein 1 OS=Mus musculus GN=Dazap1 PE=1 SV=2","Q9JII5",43,60,58,165,140
"596","DBIRD complex subunit ZNF326 OS=Mus musculus GN=Znf326 PE=1 SV=1","O88291",65,35,36,3,2
"597","DDB1- and CUL4-associated factor 1 OS=Mus musculus GN=Dcaf1 PE=1 SV=4","Q80TR8",169,0,4,0,0
"598","DDB1- and CUL4-associated factor 11 OS=Mus musculus GN=Dcaf11 PE=1 SV=1","Q91VU6",62,2,0,0,0
"599","DDB1- and CUL4-associated factor 5 OS=Mus musculus GN=Dcaf5 PE=1 SV=2","Q80T85",104,0,3,0,0
"600","DDB1- and CUL4-associated factor 7 OS=Mus musculus GN=Dcaf7 PE=1 SV=1","P61963",39,23,17,9,9
"601","Death-inducer obliterator 1 OS=Mus musculus GN=Dido1 PE=1 SV=4","Q8C9B9",247,22,21,3,7
"602","Decorin OS=Mus musculus GN=Dcn PE=1 SV=1","P28654",40,0,0,3,4
"603","Dedicator of cytokinesis protein 3 OS=Mus musculus GN=Dock3 PE=1 SV=1","Q8CIQ7",233,10,11,0,4
"604","Dedicator of cytokinesis protein 6 OS=Mus musculus GN=Dock6 PE=1 SV=4","Q8VDR9",233,0,0,28,34
"605","Dedicator of cytokinesis protein 7 OS=Mus musculus GN=Dock7 PE=1 SV=3","Q8R1A4",241,19,26,78,80
"606","Dedicator of cytokinesis protein 8 OS=Mus musculus GN=Dock8 PE=1 SV=4","Q8C147",239,0,0,7,9
"607","Dedicator of cytokinesis protein 9 OS=Mus musculus GN=Dock9 PE=1 SV=2","Q8BIK4",235,3,6,0,3
"608","Dehydrogenase/reductase SDR family member 1 OS=Mus musculus GN=Dhrs1 PE=1 SV=1","Q99L04",34,0,0,3,2
"609","Dehydrogenase/reductase SDR family member 13 OS=Mus musculus GN=Dhrs13 PE=1 SV=1","Q5SS80",41,0,0,0,2
"610","Dehydrogenase/reductase SDR family member 4 OS=Mus musculus GN=Dhrs4 PE=1 SV=3","Q99LB2",30,0,0,9,8
"611","Dehydrogenase/reductase SDR family member 7B OS=Mus musculus GN=Dhrs7b PE=1 SV=1","Q99J47",35,0,0,4,3
"612","Deleted in azoospermia-like OS=Mus musculus GN=Dazl PE=1 SV=1","Q64368",33,0,0,22,18
"613","Delta-1-pyrroline-5-carboxylate synthase OS=Mus musculus GN=Aldh18a1 PE=1 SV=2","Q9Z110",87,0,0,7,2
"614","DENN domain-containing protein 4B OS=Mus musculus GN=Dennd4b PE=1 SV=2","Q3U1Y4",165,0,0,0,2
"615","Dephospho-CoA kinase domain-containing protein OS=Mus musculus GN=Dcakd PE=1 SV=1","Q8BHC4",26,0,0,2,3
"616","Deubiquitinating protein VCIP135 OS=Mus musculus GN=Vcpip1 PE=1 SV=1","Q8CDG3",135,0,0,14,9
"617","Diablo homolog, mitochondrial OS=Mus musculus GN=Diablo PE=1 SV=2","Q9JIQ3",27,0,0,4,3
"618","Diacylglycerol kinase epsilon OS=Mus musculus GN=Dgke PE=1 SV=1","Q9R1C6",64,13,16,8,7
"619","Diacylglycerol kinase zeta OS=Mus musculus GN=Dgkz PE=1 SV=2","Q80UP3",104,3,0,0,0
"620","Dickkopf-like protein 1 OS=Mus musculus GN=Dkkl1 PE=1 SV=2","Q9QZL9",27,0,0,2,0
"621","Differentially expressed in FDCP 8 OS=Mus musculus GN=Def8 PE=1 SV=1","Q99J78",52,2,0,0,0
"622","Dihydrolipoyl dehydrogenase, mitochondrial OS=Mus musculus GN=Dld PE=1 SV=2","O08749",54,0,0,9,8
"623","Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial OS=Mus musculus GN=Dlat PE=1 SV=2","Q8BMF4",68,0,0,12,11
"624","Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Mus musculus GN=Dlst PE=1 SV=1","Q9D2G2",49,0,0,2,3
"625","Dihydropyrimidinase-related protein 1 OS=Mus musculus GN=Crmp1 PE=1 SV=1","P97427",62,15,23,0,0
"626","Dihydropyrimidinase-related protein 2 OS=Mus musculus GN=Dpysl2 PE=1 SV=2","O08553",62,19,20,0,0
"627","Dihydropyrimidinase-related protein 3 OS=Mus musculus GN=Dpysl3 PE=1 SV=1","Q62188",62,26,35,12,11
"628","Dihydropyrimidinase-related protein 4 OS=Mus musculus GN=Dpysl4 PE=1 SV=1","O35098",62,0,5,0,0
"629","Disheveled-associated activator of morphogenesis 2 OS=Mus musculus GN=Daam2 PE=1 SV=4","Q80U19",128,0,0,2,6
"630","Disintegrin and metalloproteinase domain-containing protein 2 OS=Mus musculus GN=Adam2 PE=1 SV=2","Q60718",82,0,0,9,14
"631","Disintegrin and metalloproteinase domain-containing protein 32 OS=Mus musculus GN=Adam32 PE=1 SV=3","Q8K410",84,0,0,11,12
"632","Disintegrin and metalloproteinase domain-containing protein 5 OS=Mus musculus GN=Adam5 PE=1 SV=1","Q3TTE0",85,0,0,25,21
"633","Disks large homolog 2 OS=Mus musculus GN=Dlg2 PE=1 SV=2","Q91XM9",95,7,9,0,0
"634","Disks large homolog 3 OS=Mus musculus GN=Dlg3 PE=1 SV=1","P70175",93,30,27,3,3
"635","Disks large homolog 4 OS=Mus musculus GN=Dlg4 PE=1 SV=1","Q62108",80,27,19,0,0
"636","Disks large homolog 5 OS=Mus musculus GN=Dlg5 PE=1 SV=1","E9Q9R9",214,0,2,0,0
"637","Disks large-associated protein 1 OS=Mus musculus GN=Dlgap1 PE=1 SV=3","Q9D415",110,6,7,0,0
"638","Disks large-associated protein 3 OS=Mus musculus GN=Dlgap3 PE=1 SV=1","Q6PFD5",106,7,8,0,0
"639","Disks large-associated protein 4 OS=Mus musculus GN=Dlgap4 PE=1 SV=1","B1AZP2",108,9,10,0,0
"640","DmX-like protein 1 OS=Mus musculus GN=Dmxl1 PE=1 SV=1","Q6PNC0",336,5,11,10,11
"641","DmX-like protein 2 OS=Mus musculus GN=Dmxl2 PE=1 SV=3","Q8BPN8",338,53,91,31,39
"642","DNA (cytosine-5)-methyltransferase 1 OS=Mus musculus GN=Dnmt1 PE=1 SV=5","P13864",183,9,15,3,3
"643","DNA (cytosine-5)-methyltransferase 3A OS=Mus musculus GN=Dnmt3a PE=1 SV=2","O88508",102,47,52,0,0
"644","DNA damage-binding protein 1 OS=Mus musculus GN=Ddb1 PE=1 SV=2","Q3U1J4",127,8,10,14,15
"645","DNA methyltransferase 1-associated protein 1 OS=Mus musculus GN=Dmap1 PE=1 SV=1","Q9JI44",53,0,2,0,0
"646","DNA mismatch repair protein Msh2 OS=Mus musculus GN=Msh2 PE=1 SV=1","P43247",104,0,0,10,16
"647","DNA mismatch repair protein Msh6 OS=Mus musculus GN=Msh6 PE=1 SV=3","P54276",151,0,0,4,9
"648","DNA polymerase delta catalytic subunit OS=Mus musculus GN=Pold1 PE=1 SV=2","P52431",124,0,0,17,28
"649","DNA repair protein RAD50 OS=Mus musculus GN=Rad50 PE=1 SV=1","P70388",153,0,0,6,9
"650","DNA replication licensing factor MCM2 OS=Mus musculus GN=Mcm2 PE=1 SV=3","P97310",102,0,0,2,3
"651","DNA replication licensing factor MCM3 OS=Mus musculus GN=Mcm3 PE=1 SV=2","P25206",92,0,0,11,14
"652","DNA replication licensing factor MCM4 OS=Mus musculus GN=Mcm4 PE=1 SV=1","P49717",97,0,0,8,8
"653","DNA replication licensing factor MCM5 OS=Mus musculus GN=Mcm5 PE=1 SV=1","P49718",82,4,3,31,32
"654","DNA replication licensing factor MCM6 OS=Mus musculus GN=Mcm6 PE=1 SV=1","P97311",93,0,0,13,8
"655","DNA replication licensing factor MCM7 OS=Mus musculus GN=Mcm7 PE=1 SV=1","Q61881",81,0,2,31,26
"656","DNA topoisomerase 2-alpha OS=Mus musculus GN=Top2a PE=1 SV=2","Q01320",173,0,0,0,2
"657","DNA topoisomerase 2-beta OS=Mus musculus GN=Top2b PE=1 SV=2","Q64511",182,18,22,0,0
"658","DNA topoisomerase 2-binding protein 1 OS=Mus musculus GN=Topbp1 PE=1 SV=2","Q6ZQF0",169,0,0,0,3
"659","DNA topoisomerase 3-beta-1 OS=Mus musculus GN=Top3b PE=1 SV=1","Q9Z321",97,19,13,29,32
"660","DNA-directed RNA polymerase I subunit RPA1 OS=Mus musculus GN=Polr1a PE=1 SV=2","O35134",194,0,0,0,3
"661","DNA-directed RNA polymerase II subunit GRINL1A OS=Mus musculus GN=Polr2m PE=2 SV=2","Q6P6I6",41,0,0,2,0
"662","DNA-directed RNA polymerase II subunit RPB1 OS=Mus musculus GN=Polr2a PE=1 SV=3","P08775",217,94,112,54,70
"663","DNA-directed RNA polymerase II subunit RPB11 OS=Mus musculus GN=Polr2j PE=1 SV=1","O08740",13,8,8,4,6
"664","DNA-directed RNA polymerase II subunit RPB2 OS=Mus musculus GN=Polr2b PE=1 SV=2","Q8CFI7",134,64,66,56,69
"665","DNA-directed RNA polymerase II subunit RPB3 OS=Mus musculus GN=Polr2c PE=1 SV=2","P97760",31,14,12,10,14
"666","DNA-directed RNA polymerase II subunit RPB4 OS=Mus musculus GN=Polr2d PE=1 SV=2","Q9D7M8",16,6,4,7,7
"667","DNA-directed RNA polymerase II subunit RPB7 OS=Mus musculus GN=Polr2g PE=1 SV=1","P62488",19,0,0,6,7
"668","DNA-directed RNA polymerase II subunit RPB9 OS=Mus musculus GN=Polr2i PE=1 SV=1","P60898",15,5,7,3,6
"669","DNA-directed RNA polymerases I, II, and III subunit RPABC1 OS=Mus musculus GN=Polr2e PE=1 SV=1","Q80UW8",25,16,14,11,12
"670","DNA-directed RNA polymerases I, II, and III subunit RPABC3 OS=Mus musculus GN=Polr2h PE=1 SV=3","Q923G2",17,10,10,5,5
"671","DNA-directed RNA polymerases I, II, and III subunit RPABC5 OS=Mus musculus GN=Polr2l PE=3 SV=1","P62876",8,2,3,0,2
"672","DnaJ homolog subfamily A member 1 OS=Mus musculus GN=Dnaja1 PE=1 SV=1","P63037",45,8,12,49,47
"673","DnaJ homolog subfamily A member 2 OS=Mus musculus GN=Dnaja2 PE=1 SV=1","Q9QYJ0",46,8,9,42,36
"674","DnaJ homolog subfamily A member 3, mitochondrial OS=Mus musculus GN=Dnaja3 PE=1 SV=1","Q99M87",52,5,8,11,10
"675","DnaJ homolog subfamily A member 4 OS=Mus musculus GN=Dnaja4 PE=1 SV=1","Q9JMC3",45,0,0,14,13
"676","DnaJ homolog subfamily B member 1 OS=Mus musculus GN=Dnajb1 PE=1 SV=3","Q9QYJ3",38,0,0,3,5
"677","DnaJ homolog subfamily B member 11 OS=Mus musculus GN=Dnajb11 PE=1 SV=1","Q99KV1",41,7,7,24,23
"678","DnaJ homolog subfamily B member 12 OS=Mus musculus GN=Dnajb12 PE=1 SV=2","Q9QYI4",42,2,0,0,0
"679","DnaJ homolog subfamily B member 13 OS=Mus musculus GN=Dnajb13 PE=1 SV=1","Q80Y75",36,0,0,13,17
"680","DnaJ homolog subfamily B member 14 OS=Mus musculus GN=Dnajb14 PE=2 SV=1","Q149L6",42,0,2,0,0
"681","DnaJ homolog subfamily B member 3 OS=Mus musculus GN=Dnajb3 PE=2 SV=1","O35723",27,0,0,5,6
"682","DnaJ homolog subfamily B member 6 OS=Mus musculus GN=Dnajb6 PE=1 SV=4","O54946",40,6,3,7,7
"683","DnaJ homolog subfamily C member 10 OS=Mus musculus GN=Dnajc10 PE=1 SV=2","Q9DC23",91,25,24,72,71
"684","DnaJ homolog subfamily C member 16 OS=Mus musculus GN=Dnajc16 PE=1 SV=2","Q80TN4",89,6,2,2,4
"685","DnaJ homolog subfamily C member 7 OS=Mus musculus GN=Dnajc7 PE=1 SV=2","Q9QYI3",56,0,0,8,4
"686","Dolichol-phosphate mannosyltransferase subunit 1 OS=Mus musculus GN=Dpm1 PE=1 SV=1","O70152",29,10,8,8,8
"687","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Mus musculus GN=Ddost PE=1 SV=2","O54734",49,0,0,7,8
"688","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 OS=Mus musculus GN=Rpn1 PE=1 SV=1","Q91YQ5",69,6,3,14,12
"689","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2 OS=Mus musculus GN=Rpn2 PE=1 SV=1","Q9DBG6",69,0,0,12,13
"690","Double zinc ribbon and ankyrin repeat-containing protein 1 OS=Mus musculus GN=Dzank1 PE=1 SV=2","Q8C008",85,12,7,0,0
"691","Double-strand break repair protein MRE11 OS=Mus musculus GN=Mre11 PE=1 SV=1","Q61216",80,0,0,3,2
"692","Double-strand-break repair protein rad21 homolog OS=Mus musculus GN=Rad21 PE=1 SV=3","Q61550",72,0,5,0,0
"693","Double-stranded RNA-binding protein Staufen homolog 1 OS=Mus musculus GN=Stau1 PE=1 SV=1","Q9Z108",54,12,11,3,3
"694","Double-stranded RNA-specific adenosine deaminase OS=Mus musculus GN=Adar PE=1 SV=2","Q99MU3",130,8,10,0,0
"695","Doublesex- and mab-3-related transcription factor 1 OS=Mus musculus GN=Dmrt1 PE=1 SV=2","Q9QZ59",39,0,0,2,0
"696","Dual specificity mitogen-activated protein kinase kinase 3 OS=Mus musculus GN=Map2k3 PE=1 SV=2","O09110",39,0,0,2,3
"697","Dual specificity mitogen-activated protein kinase kinase 5 OS=Mus musculus GN=Map2k5 PE=1 SV=1","Q9WVS7",50,0,0,0,2
"698","Dual specificity mitogen-activated protein kinase kinase 7 OS=Mus musculus GN=Map2k7 PE=1 SV=1","Q8CE90",59,0,0,3,0
"699","Dual specificity protein kinase TTK OS=Mus musculus GN=Ttk PE=1 SV=1","P35761",96,0,0,2,2
"700","Dual specificity protein phosphatase 3 OS=Mus musculus GN=Dusp3 PE=1 SV=1","Q9D7X3",20,0,0,3,5
"701","Dual specificity testis-specific protein kinase 1 OS=Mus musculus GN=Tesk1 PE=1 SV=3","O70146",68,0,0,2,2
"702","Dual specificity tyrosine-phosphorylation-regulated kinase 1A OS=Mus musculus GN=Dyrk1a PE=1 SV=1","Q61214",85,19,14,7,0
"703","Dual specificity tyrosine-phosphorylation-regulated kinase 1B OS=Mus musculus GN=Dyrk1b PE=1 SV=3","Q9Z188",69,0,0,6,6
"704","Dynactin subunit 1 OS=Mus musculus GN=Dctn1 PE=1 SV=3","O08788",142,17,28,24,26
"705","Dynactin subunit 2 OS=Mus musculus GN=Dctn2 PE=1 SV=3","Q99KJ8",44,5,5,10,11
"706","Dynactin subunit 3 OS=Mus musculus GN=Dctn3 PE=1 SV=2","Q9Z0Y1",21,0,2,2,2
