"","Description","spID","MW","retinaWT","retinaKO","testisWT","testisKO"
"320","ATP-dependent DNA helicase Q1 OS=Mus musculus GN=Recql PE=1 SV=2","Q9Z129",72,0,0,4.31928127159641e-06,4.77297807102955e-06
"321","ATP-dependent DNA helicase Q5 OS=Mus musculus GN=Recql5 PE=1 SV=1","Q8VID5",108,7.16633199896231e-07,0,0,0
"322","ATP-dependent RNA helicase A OS=Mus musculus GN=Dhx9 PE=1 SV=2","O70133",149,7.86949826624305e-05,7.80662447848603e-05,3.29308961378088e-05,2.90607094364967e-05
"323","ATP-dependent RNA helicase DDX1 OS=Mus musculus GN=Ddx1 PE=1 SV=1","Q91VR5",83,7.59976557287546e-05,8.21351019758625e-05,8.15979883597972e-05,9.3573372496136e-05
"324","ATP-dependent RNA helicase DDX18 OS=Mus musculus GN=Ddx18 PE=1 SV=1","Q8K363",74,1.04589710255126e-06,1.1515563283778e-06,0,0
"325","ATP-dependent RNA helicase DDX25 OS=Mus musculus GN=Ddx25 PE=1 SV=2","Q9QY15",55,0,0,1.38217000691085e-05,1.62454817253951e-05
"326","ATP-dependent RNA helicase DDX39A OS=Mus musculus GN=Ddx39a PE=1 SV=1","Q8VDW0",49,0,0,2.60919848243375e-05,3.43654421114128e-05
"327","ATP-dependent RNA helicase DDX3X OS=Mus musculus GN=Ddx3x PE=1 SV=3","Q62167",73,6.41435798372874e-05,8.93008270540649e-05,5.9168236597211e-05,6.54355678559777e-05
"328","ATP-dependent RNA helicase DDX3Y OS=Mus musculus GN=Ddx3y PE=1 SV=2","Q62095",73,5.51316719262635e-05,7.35418575739358e-05,5.06480105272127e-05,5.60203782364126e-05
"329","ATP-dependent RNA helicase DDX4 OS=Mus musculus GN=Ddx4 PE=1 SV=2","Q61496",76,0,0,4.91034081402539e-05,5.60699318659892e-05
"330","ATP-dependent RNA helicase DDX42 OS=Mus musculus GN=Ddx42 PE=1 SV=3","Q810A7",102,1.55551559271594e-05,1.58734137029332e-05,9.82424759814085e-06,7.41215418089295e-06
"331","ATP-dependent RNA helicase DDX50 OS=Mus musculus GN=Ddx50 PE=2 SV=1","Q99MJ9",82,7.07893770629204e-06,7.79407027133757e-06,8.42786589579787e-07,8.38181514912506e-07
"332","ATP-dependent RNA helicase DHX36 OS=Mus musculus GN=Dhx36 PE=1 SV=2","Q8VHK9",114,3.05512048376814e-06,5.23251033420791e-06,3.94039694952655e-06,4.22031745227876e-06
"333","ATP-dependent RNA helicase DHX8 OS=Mus musculus GN=Dhx8 PE=2 SV=1","A2A4P0",143,0,0,9.6655245238521e-07,7.20953331008659e-07
"334","ATP-dependent RNA helicase TDRD9 OS=Mus musculus GN=Tdrd9 PE=1 SV=3","Q14BI7",156,0,0,2.14856555561462e-05,2.1147964376254e-05
"335","ATP-dependent zinc metalloprotease YME1L1 OS=Mus musculus GN=Yme1l1 PE=1 SV=1","O88967",80,0,0,8.63856254319281e-07,0
"336","ATPase family AAA domain-containing protein 3 OS=Mus musculus GN=Atad3 PE=1 SV=1","Q925I1",67,1.38620392099331e-05,1.3990550019396e-05,1.08304366213164e-05,1.17970920680969e-05
"337","ATPase WRNIP1 OS=Mus musculus GN=Wrnip1 PE=1 SV=2","Q91XU0",72,8.59959839875478e-06,7.69303602707949e-06,2.87952084773094e-06,4.2956802639266e-06
"338","Atrophin-1 OS=Mus musculus GN=Atn1 PE=1 SV=1","O35126",124,1.56041099977405e-06,6.87219099193205e-07,0,0
"339","Aurora kinase A OS=Mus musculus GN=Aurka PE=1 SV=1","P97477",45,0,0,1.53574445212317e-06,1.52735298272946e-06
"340","Aurora kinase C OS=Mus musculus GN=Aurkc PE=1 SV=1","O88445",33,0,0,0,2.08275406735835e-06
"341","Baculoviral IAP repeat-containing protein 2 OS=Mus musculus GN=Birc2 PE=1 SV=1","Q62210",70,0,1.82603932071337e-06,0,9.81869774611793e-07
"342","Baculoviral IAP repeat-containing protein 6 OS=Mus musculus GN=Birc6 PE=1 SV=2","O88738",532,2.90963855596966e-07,0,1.29903196138238e-07,0
"343","BAG family molecular chaperone regulator 4 OS=Mus musculus GN=Bag4 PE=1 SV=2","Q8CI61",49,0,1.73908506734607e-06,0,1.40267110658828e-06
"344","BAG family molecular chaperone regulator 5 OS=Mus musculus GN=Bag5 PE=1 SV=1","Q8CI32",51,0,0,4.74274021979213e-06,3.36916099131498e-06
"345","Band 4.1-like protein 2 OS=Mus musculus GN=Epb41l2 PE=1 SV=2","O70318",110,1.02022508276136e-05,6.97215013363288e-06,0,0
"346","Band 4.1-like protein 3 OS=Mus musculus GN=Epb41l3 PE=1 SV=1","Q9WV92",103,8.6413440220497e-06,4.55032452087151e-06,0,0
"347","Band 4.1-like protein 4B OS=Mus musculus GN=Epb41l4b PE=1 SV=2","Q9JMC8",60,0,1.42025280499929e-06,0,0
"348","Band 4.1-like protein 5 OS=Mus musculus GN=Epb41l5 PE=1 SV=1","Q8BGS1",82,3.77543344335576e-06,1.55881405426751e-06,0,0
"349","Bardet-Biedl syndrome 1 protein homolog OS=Mus musculus GN=Bbs1 PE=1 SV=1","Q3V3N7",65,4.76285449777188e-06,4.5885090623054e-06,4.78443463930679e-06,6.87308842228255e-06
"350","Bardet-Biedl syndrome 2 protein homolog OS=Mus musculus GN=Bbs2 PE=1 SV=1","Q9CWF6",80,3.38609186950969e-06,4.26075841499787e-06,7.77470628887353e-06,6.01395236949723e-06
"351","Bardet-Biedl syndrome 4 protein homolog OS=Mus musculus GN=Bbs4 PE=1 SV=1","Q8C1Z7",58,0,1.46922703965444e-06,0,0
"352","Bardet-Biedl syndrome 5 protein homolog OS=Mus musculus GN=Bbs5 PE=1 SV=1","Q9CZQ9",39,4.96130676851237e-06,4.37000863076705e-06,1.06320769762373e-05,1.23363125528148e-05
"353","Bardet-Biedl syndrome 7 protein homolog OS=Mus musculus GN=Bbs7 PE=1 SV=1","Q8K2G4",80,4.83727409929956e-06,4.26075841499787e-06,7.77470628887353e-06,6.44352039588989e-06
"354","Basement membrane-specific heparan sulfate proteoglycan core protein OS=Mus musculus GN=Hspg2 PE=1 SV=1","Q05793",398,4.95881364953322e-06,4.92449465050005e-06,3.12551006587881e-06,4.1445759330347e-06
"355","Basigin OS=Mus musculus GN=Bsg PE=1 SV=2","P18572",42,1.84277108544745e-06,2.02893257857041e-06,0,0
"356","Bcl-2-associated transcription factor 1 OS=Mus musculus GN=Bclaf1 PE=1 SV=2","Q8K019",106,9.12693226282936e-06,8.84308350282577e-06,0,0
"357","BCL-6 corepressor OS=Mus musculus GN=Bcor PE=1 SV=2","Q8CGN4",193,4.01017541910845e-07,0,0,0
"358","Beta-1-syntrophin OS=Mus musculus GN=Sntb1 PE=1 SV=4","Q99L88",58,1.33442044118609e-05,1.54268839163716e-05,0,0
"359","Beta-2-syntrophin OS=Mus musculus GN=Sntb2 PE=1 SV=2","Q61235",56,7.60143072747074e-06,1.14127457544586e-05,8.02152236153618e-06,6.75035470045608e-06
"360","Beta-adducin OS=Mus musculus GN=Add2 PE=1 SV=4","Q9QYB8",81,9.55510933194975e-07,1.57805867222143e-06,0,0
"361","Beta-centractin OS=Mus musculus GN=Actr1b PE=1 SV=1","Q8R5C5",42,1.19780120554084e-05,8.11573031428166e-06,0,0
"362","Beta-crystallin A1 OS=Mus musculus GN=Cryba1 PE=2 SV=2","P02525",23,5.0475903644865e-06,2.40825475630314e-05,0,0
"363","Beta-crystallin A2 OS=Mus musculus GN=Cryba2 PE=2 SV=3","Q9JJV1",22,0,1.93670837045358e-05,0,0
"364","Beta-crystallin A4 OS=Mus musculus GN=Cryba4 PE=2 SV=3","Q9JJV0",22,0,2.32405004454429e-05,0,0
"365","Beta-crystallin B1 OS=Mus musculus GN=Crybb1 PE=1 SV=3","Q9WVJ5",28,8.29246988451354e-06,6.23896767910402e-05,0,0
"366","Beta-crystallin B2 OS=Mus musculus GN=Crybb2 PE=1 SV=2","P62696",23,0,3.33450658565051e-05,0,0
"367","Beta-crystallin B3 OS=Mus musculus GN=Crybb3 PE=2 SV=3","Q9JJU9",24,0,3.72816361312314e-05,0,0
"368","Beta-defensin 36 OS=Mus musculus GN=Defb36 PE=3 SV=2","Q8K3U4",8,0,0,8.63856254319281e-06,0
"369","Beta-enolase OS=Mus musculus GN=Eno3 PE=1 SV=3","P21550",47,0,1.17850764670154e-05,0,0
"370","Beta-galactosidase-1-like protein 3 OS=Mus musculus GN=Glb1l3 PE=1 SV=1","A2RSQ1",74,0,0,1.86779730663628e-06,1.85759146548177e-06
"371","Beta-parvin OS=Mus musculus GN=Parvb PE=1 SV=1","Q9ES46",42,0,0,4.1136012110442e-06,4.09112406088247e-06
"372","Beta/gamma crystallin domain-containing protein 3 OS=Mus musculus GN=Crybg3 PE=1 SV=2","Q80W49",114,0,0,1.30336206792032e-05,1.3263854850019e-05
"373","Bifunctional glutamate/proline--tRNA ligase OS=Mus musculus GN=Eprs PE=1 SV=4","Q8CGC7",170,8.65018427168863e-06,5.76455550264418e-06,1.64640839058498e-05,1.43526258230018e-05
"374","Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase OS=Mus musculus GN=Gne PE=1 SV=1","Q91WG8",79,1.95940216680489e-06,1.61800952468274e-06,0,0
"375","Bloom syndrome protein homolog OS=Mus musculus GN=Blm PE=1 SV=1","O88700",158,0,0,0,4.35005596346997e-07
"376","BMP-2-inducible protein kinase OS=Mus musculus GN=Bmp2k PE=1 SV=1","Q91Z96",126,1.22851405696497e-06,1.01446628928521e-06,5.4848016147256e-07,0
"377","Brain-enriched guanylate kinase-associated protein OS=Mus musculus GN=Begain PE=1 SV=2","Q68EF6",65,3.57214087332891e-06,3.93300776769034e-06,0,0
"378","Brain-specific angiogenesis inhibitor 1-associated protein 2 OS=Mus musculus GN=Baiap2 PE=1 SV=2","Q8BKX1",59,0,0,4.0996568001593e-06,2.32986048212968e-06
"379","BRCA1-associated ATM activator 1 OS=Mus musculus GN=Brat1 PE=1 SV=1","Q8C3R1",89,0,0,1.94125000970625e-06,1.54451425219833e-06
"380","Breakpoint cluster region protein OS=Mus musculus GN=Bcr PE=1 SV=3","Q6PAJ1",143,4.87110119090306e-06,2.38364107132748e-06,0,0
"381","BRISC and BRCA1-A complex member 2 OS=Mus musculus GN=Babam2 PE=1 SV=2","Q8K3W0",44,1.75900876338166e-06,0,3.14129547025193e-06,3.12413110103752e-06
"382","BRISC complex subunit Abraxas 2 OS=Mus musculus GN=Abraxas2 PE=1 SV=1","Q3TCJ1",47,0,0,2.94078724874649e-06,2.19353885817528e-06
"383","BTB/POZ domain-containing protein KCTD16 OS=Mus musculus GN=Kctd16 PE=1 SV=2","Q5DTY9",49,2.36927710986101e-06,0,0,0
"384","BTB/POZ domain-containing protein KCTD19 OS=Mus musculus GN=Kctd19 PE=1 SV=2","Q562E2",105,0,0,2.96179287195182e-06,1.63644962435299e-06
"385","BTB/POZ domain-containing protein KCTD3 OS=Mus musculus GN=Kctd3 PE=1 SV=1","Q8BFX3",89,1.73924461997288e-06,1.91494760224623e-06,0,0
"386","BUB3-interacting and GLEBS motif-containing protein ZNF207 OS=Mus musculus GN=Znf207 PE=1 SV=1","Q9JMD0",53,0,0,1.95590095317573e-06,1.29680913627973e-06
"387","C-1-tetrahydrofolate synthase, cytoplasmic OS=Mus musculus GN=Mthfd1 PE=1 SV=4","Q922D8",101,0,0,1.7106064441966e-06,1.36100760837278e-06
"388","c-Myc-binding protein OS=Mus musculus GN=Mycbp PE=1 SV=5","Q9EQS3",12,0,0,1.43976042386547e-05,5.72757368523546e-06
"389","C-terminal-binding protein 1 OS=Mus musculus GN=Ctbp1 PE=1 SV=2","O88712",48,9.67454819859913e-06,8.87658003124556e-06,0,0
"390","C-terminal-binding protein 2 OS=Mus musculus GN=Ctbp2 PE=1 SV=2","P56546",49,3.00108433915728e-05,2.86949036112101e-05,2.82075511614459e-06,2.10400665988241e-06
"391","Cactin OS=Mus musculus GN=Cactin PE=1 SV=2","Q9CS00",91,1.70101946348996e-06,0,0,0
"392","CAD protein OS=Mus musculus GN=Cad PE=1 SV=1","B2RQC6",243,1.41734121757255e-05,1.31504889351786e-05,2.06187912553573e-05,1.79605397043186e-05
"393","Cadherin-2 OS=Mus musculus GN=Cdh2 PE=1 SV=2","P15116",100,1.54792771177586e-06,1.70430336599915e-06,0,0
"394","Calcium homeostasis endoplasmic reticulum protein OS=Mus musculus GN=Cherp PE=1 SV=1","Q8CGZ0",106,1.56983234920665e-05,1.92940003698017e-05,8.14958730489888e-06,7.45665253360843e-06
"395","Calcium-binding mitochondrial carrier protein Aralar1 OS=Mus musculus GN=Slc25a12 PE=1 SV=1","Q8BH59",75,2.78626988119655e-05,2.15878426359892e-05,4.14651002073255e-06,3.20744126373186e-06
"396","Calcium-binding mitochondrial carrier protein Aralar2 OS=Mus musculus GN=Slc25a13 PE=1 SV=1","Q9QXX4",74,0,0,4.20254393993164e-06,2.78638719822266e-06
"397","Calcium-binding mitochondrial carrier protein SCaMC-2 OS=Mus musculus GN=Slc25a25 PE=1 SV=1","A2ASZ8",53,2.19046374307905e-06,1.60783336415014e-06,0,0
"398","Calcium-dependent secretion activator 1 OS=Mus musculus GN=Cadps PE=1 SV=3","Q80TJ1",153,7.58788094007775e-07,1.39240471078362e-06,0,0
"399","Calcium-responsive transactivator OS=Mus musculus GN=Ss18l1 PE=1 SV=1","Q8BW22",44,2.63851314507249e-06,3.87341674090715e-06,0,0
"400","Calcium-transporting ATPase type 2C member 1 OS=Mus musculus GN=Atp2c1 PE=1 SV=2","Q80XR2",100,0,1.27822752449936e-06,0,0
"401","Calcium/calmodulin-dependent protein kinase type II subunit alpha OS=Mus musculus GN=Camk2a PE=1 SV=2","P11798",54,1.93490963971983e-05,2.13037920749893e-05,0,0
"402","Calcium/calmodulin-dependent protein kinase type II subunit beta OS=Mus musculus GN=Camk2b PE=1 SV=2","P28652",60,3.35384337551436e-05,3.83468257349808e-05,0,0
"403","Calcium/calmodulin-dependent protein kinase type II subunit delta OS=Mus musculus GN=Camk2d PE=1 SV=1","Q6PHZ2",56,3.10967620669258e-05,3.72816361312314e-05,8.02152236153618e-06,5.52301748219134e-06
"404","Calcium/calmodulin-dependent protein kinase type II subunit gamma OS=Mus musculus GN=Camk2g PE=1 SV=1","Q923T9",60,2.19289759168247e-05,2.34341712824883e-05,8.63856254319281e-06,4.00930157966482e-06
"405","Calicin OS=Mus musculus GN=Ccin PE=1 SV=1","Q8CDE2",67,0,0,9.28323138969974e-06,7.18083865014595e-06
"406","Calmegin OS=Mus musculus GN=Clgn PE=1 SV=2","P52194",69,0,0,4.00628987510391e-06,3.48634919970854e-06
"407","Calmodulin-1 OS=Mus musculus GN=Calm1 PE=1 SV=1","P0DP26",17,4.55272856404665e-06,5.01265695882102e-06,0,0
"408","Calmodulin-regulated spectrin-associated protein 3 OS=Mus musculus GN=Camsap3 PE=1 SV=1","Q80VC9",135,8.59959839875478e-07,0,0,0
"409","Calpain-6 OS=Mus musculus GN=Capn6 PE=1 SV=2","O35646",75,0,0,9.214466712739e-07,9.16411789637674e-07
"410","CaM kinase-like vesicle-associated protein OS=Mus musculus GN=Camkv PE=1 SV=2","Q3UHL1",55,2.81441402141065e-06,2.32405004454429e-06,0,0
"411","cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A OS=Mus musculus GN=Pde10a PE=1 SV=2","Q8CA95",89,0,0,0,7.72257126099163e-07
"412","cAMP-dependent protein kinase catalytic subunit alpha OS=Mus musculus GN=Prkaca PE=1 SV=3","P05132",41,0,0,2.52835976873936e-06,3.35272605965003e-06
"413","cAMP-dependent protein kinase type I-alpha regulatory subunit OS=Mus musculus GN=Prkar1a PE=1 SV=3","Q9DBC7",43,0,0,2.41076163996078e-06,2.39758898451717e-06
"414","cAMP-dependent protein kinase type II-alpha regulatory subunit OS=Mus musculus GN=Prkar2a PE=1 SV=2","P12367",45,0,0,3.07148890424633e-06,3.05470596545891e-06
"415","Cancer-related nucleoside-triphosphatase homolog OS=Mus musculus GN=Ntpcr PE=1 SV=1","Q9CQA9",21,0,0,1.15180833909237e-05,9.81869774611793e-06
"416","Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1 OS=Mus musculus GN=Cmtr1 PE=1 SV=1","Q9DBC3",96,1.20931852482489e-06,1.33148700468683e-06,1.43976042386547e-06,1.07392006598165e-06
"417","Caprin-1 OS=Mus musculus GN=Caprin1 PE=1 SV=2","Q60865",78,2.28220111351569e-05,2.7312553942294e-05,1.50621090496695e-05,1.32174777351588e-05
"418","Caprin-2 OS=Mus musculus GN=Caprin2 PE=1 SV=1","Q05A80",114,0,7.47501476315416e-06,0,0
"419","Carbonyl reductase [NADPH] 1 OS=Mus musculus GN=Cbr1 PE=1 SV=3","P48758",31,0,0,1.22611855451769e-05,1.10856264875525e-05
"420","Carbonyl reductase [NADPH] 2 OS=Mus musculus GN=Cbr2 PE=1 SV=1","P08074",26,0,0,2.65801924405933e-06,0
"421","Carbonyl reductase family member 4 OS=Mus musculus GN=Cbr4 PE=1 SV=2","Q91VT4",25,0,0,5.5286800276434e-06,5.49847073782604e-06
"422","Carnitine O-palmitoyltransferase 1, liver isoform OS=Mus musculus GN=Cpt1a PE=1 SV=4","P97742",88,2.19876095422707e-06,1.45253127784018e-06,1.17798580134447e-05,1.05439424660016e-05
"423","Carnitine O-palmitoyltransferase 1, muscle isoform OS=Mus musculus GN=Cpt1b PE=1 SV=1","Q924X2",88,0,0,4.7119432053779e-06,3.51464748866721e-06
"424","Casein kinase I isoform alpha OS=Mus musculus GN=Csnk1a1 PE=1 SV=2","Q8BK63",39,0,0,1.24040898056102e-05,1.23363125528148e-05
"425","Casein kinase I isoform delta OS=Mus musculus GN=Csnk1d PE=1 SV=2","Q9DC28",47,4.11682902068048e-06,2.7196330308497e-06,8.08716493405285e-06,9.50533505209289e-06
"426","Casein kinase II subunit alpha OS=Mus musculus GN=Csnk2a1 PE=1 SV=2","Q60737",45,1.9779076317136e-05,1.51493632533258e-05,1.53574445212317e-05,1.52735298272946e-05
"427","Casein kinase II subunit alpha' OS=Mus musculus GN=Csnk2a2 PE=1 SV=1","O54833",41,4.71929180419469e-06,4.1568374780467e-06,2.61263842769734e-05,2.43072639324627e-05
"428","Casein kinase II subunit beta OS=Mus musculus GN=Csnk2b PE=1 SV=1","P67871",25,1.39313494059827e-05,1.02258201959949e-05,1.65860400829302e-05,2.06192652668477e-05
"429","Caseinolytic peptidase B protein homolog OS=Mus musculus GN=Clpb PE=1 SV=1","Q60649",76,0,0,0,9.0435373977402e-07
"430","Cat eye syndrome critical region protein 2 homolog OS=Mus musculus GN=Cecr2 PE=2 SV=1","E9Q2Z1",162,1.19438866649372e-06,1.05203911481429e-06,0,0
"431","Catenin alpha-2 OS=Mus musculus GN=Ctnna2 PE=1 SV=3","Q61301",105,3.6855421708949e-06,4.46365167285491e-06,0,0
"432","Catenin beta-1 OS=Mus musculus GN=Ctnnb1 PE=1 SV=1","Q02248",85,1.13818214101166e-05,1.30329080929347e-05,2.43912354160738e-06,1.61719727583119e-06
"433","Catenin delta-1 OS=Mus musculus GN=Ctnnd1 PE=1 SV=2","P30999",105,1.8059156637385e-05,1.82603932071337e-05,1.54671405535262e-05,1.47280466191769e-05
"434","Catenin delta-2 OS=Mus musculus GN=Ctnnd2 PE=1 SV=1","O35927",135,1.23260910382152e-05,1.13620224399943e-05,0,0
"435","Cathepsin B OS=Mus musculus GN=Ctsb PE=1 SV=2","P10605",37,0,0,0,3.71518293096354e-06
"436","Cathepsin F OS=Mus musculus GN=Ctsf PE=1 SV=1","Q9R013",52,0,0,0,1.98262166027381e-06
"437","Cation channel sperm-associated protein subunit beta OS=Mus musculus GN=Catsperb PE=1 SV=1","A2RTF1",126,0,0,8.22720242208839e-07,8.18224812176494e-07
"438","CCR4-NOT transcription complex subunit 1 OS=Mus musculus GN=Cnot1 PE=1 SV=2","Q6ZQ08",267,1.59430756830847e-06,1.11705276797697e-06,1.03533333851e-05,8.49482838709079e-06
"439","CCR4-NOT transcription complex subunit 10 OS=Mus musculus GN=Cnot10 PE=1 SV=1","Q8BH15",82,0,0,8.42786589579787e-06,5.02908908947504e-06
"440","CCR4-NOT transcription complex subunit 11 OS=Mus musculus GN=Cnot11 PE=1 SV=1","Q9CWN7",55,0,0,5.65433184645348e-06,7.49791464249006e-06
"441","CCR4-NOT transcription complex subunit 2 OS=Mus musculus GN=Cnot2 PE=1 SV=2","Q8C5L3",60,3.22484939953304e-06,2.84050560999858e-06,3.45542501727713e-06,3.43654421114128e-06
"442","CCR4-NOT transcription complex subunit 3 OS=Mus musculus GN=Cnot3 PE=1 SV=1","Q8K0V4",82,3.30350426293629e-06,1.55881405426751e-06,2.94975306352925e-06,2.09545378728127e-06
"443","CCR4-NOT transcription complex subunit 4 OS=Mus musculus GN=Cnot4 PE=1 SV=2","Q8BT14",63,0,2.02893257857041e-06,3.83936113030792e-06,2.72741604058831e-06
"444","CCR4-NOT transcription complex subunit 6-like OS=Mus musculus GN=Cnot6l PE=1 SV=2","Q8VEG6",63,0,0,0,1.09096641623533e-06
"445","CCR4-NOT transcription complex subunit 7 OS=Mus musculus GN=Cnot7 PE=1 SV=1","Q60809",33,3.51801752676332e-06,2.58227782727144e-06,1.46593788611757e-05,8.3310162694334e-06
"446","CCR4-NOT transcription complex subunit 9 OS=Mus musculus GN=Cnot9 PE=1 SV=1","Q9JKY0",34,0,0,1.93097280377251e-05,1.61719727583119e-05
"447","CD2 antigen cytoplasmic tail-binding protein 2 OS=Mus musculus GN=Cd2bp2 PE=1 SV=1","Q9CWK3",38,2.03674698917876e-06,2.24250442894625e-06,0,0
"448","CDK-activating kinase assembly factor MAT1 OS=Mus musculus GN=Mnat1 PE=1 SV=2","P51949",36,0,0,4.7992014128849e-06,5.72757368523546e-06
"449","CDKN2A-interacting protein OS=Mus musculus GN=Cdkn2aip PE=1 SV=1","Q8BI72",60,6.44969879906608e-06,7.10126402499645e-06,1.26698917300161e-05,1.48916915816122e-05
"450","CDKN2AIP N-terminal-like protein OS=Mus musculus GN=Cdkn2aipnl PE=3 SV=1","Q9D211",13,8.93035218332227e-06,9.83251941922585e-06,0,0
"451","CDP-diacylglycerol--inositol 3-phosphatidyltransferase OS=Mus musculus GN=Cdipt PE=1 SV=1","Q8VDP6",24,0,0,2.87952084773094e-06,2.86378684261773e-06
"452","Cell cycle and apoptosis regulator protein 2 OS=Mus musculus GN=Ccar2 PE=1 SV=2","Q8VDP4",103,2.70511638951121e-05,2.48199519320264e-05,9.7288665534987e-06,8.6747717951139e-06
"453","Cell division control protein 42 homolog OS=Mus musculus GN=Cdc42 PE=1 SV=2","P60766",21,3.6855421708949e-06,6.08679773571124e-06,0,0
"454","Cell division cycle 5-like protein OS=Mus musculus GN=Cdc5l PE=1 SV=2","Q6A068",92,1.09364457897207e-05,9.72564420814731e-06,3.00471740632793e-06,2.61476189978141e-06
"455","Cell division cycle and apoptosis regulator protein 1 OS=Mus musculus GN=Ccar1 PE=1 SV=1","Q8CH18",132,9.38138007136885e-06,5.81012511136073e-06,5.23549245041989e-07,0
"456","Cell division cycle protein 16 homolog OS=Mus musculus GN=Cdc16 PE=1 SV=1","Q8R349",71,2.72522484467581e-06,3.60064091408271e-06,9.73359159796373e-07,9.68040622856698e-07
"457","Cell division cycle protein 23 homolog OS=Mus musculus GN=Cdc23 PE=1 SV=2","Q8BGZ4",69,5.0475903644865e-06,2.47000487825963e-06,3.00471740632793e-06,3.48634919970854e-06
"458","Cell growth-regulating nucleolar protein OS=Mus musculus GN=Lyar PE=1 SV=2","Q08288",44,0,0,1.41358296161337e-05,1.6401688280447e-05
"459","Cellular nucleic acid-binding protein OS=Mus musculus GN=Cnbp PE=1 SV=2","P53996",20,0,4.26075841499787e-06,3.45542501727713e-06,0
"460","Centromere protein V OS=Mus musculus GN=Cenpv PE=1 SV=2","Q9CXS4",28,5.52831325634236e-06,4.56509830178343e-06,1.97452858130121e-05,1.22733721826474e-05
"461","Centrosomal protein of 170 kDa OS=Mus musculus GN=Cep170 PE=1 SV=2","Q6A065",175,0,0,3.94905716260243e-07,0
"462","Centrosomal protein of 55 kDa OS=Mus musculus GN=Cep55 PE=1 SV=2","Q8BT07",54,0,0,2.55957408687194e-06,1.90919122841182e-06
"463","Centrosomal protein of 72 kDa OS=Mus musculus GN=Cep72 PE=1 SV=3","Q9D3R3",72,0,0,2.78353681947324e-05,3.10243574616921e-05
"464","Centrosomal protein of 85 kDa OS=Mus musculus GN=Cep85 PE=1 SV=2","Q8BMK0",85,0,0,3.65868531241107e-06,3.23439455166238e-06
"465","Ceramide kinase OS=Mus musculus GN=Cerk PE=2 SV=2","Q8K4Q7",60,0,0,1.15180833909238e-06,0
"466","cGMP-dependent protein kinase 2 OS=Mus musculus GN=Prkg2 PE=1 SV=1","Q61410",87,0,0,7.94350578684397e-07,0
"467","cGMP-gated cation channel alpha-1 OS=Mus musculus GN=Cnga1 PE=2 SV=2","P29974",79,2.44925270850611e-06,0,0,0
"468","Cholesterol side-chain cleavage enzyme, mitochondrial OS=Mus musculus GN=Cyp11a1 PE=1 SV=1","Q9QZ82",60,0,0,1.90048375950242e-05,1.66099636871828e-05
"469","Chromatin target of PRMT1 protein OS=Mus musculus GN=Chtop PE=1 SV=2","Q9CY57",27,1.00328647985472e-05,1.104641070555e-05,0,0
"470","Chromobox protein homolog 3 OS=Mus musculus GN=Cbx3 PE=1 SV=2","P23198",21,1.28993975981322e-05,1.01446628928521e-05,0,0
"471","Chromobox protein homolog 6 OS=Mus musculus GN=Cbx6 PE=1 SV=2","Q9DBY5",44,2.63851314507249e-06,0,0,0
"472","Chromobox protein homolog 8 OS=Mus musculus GN=Cbx8 PE=1 SV=1","Q9QXV1",40,2.90236445957974e-06,3.1955688112484e-06,0,0
"473","Chromodomain-helicase-DNA-binding protein 2 OS=Mus musculus GN=Chd2 PE=1 SV=1","E9PZM4",211,7.33615029277659e-07,4.03863356871836e-07,0,0
"474","Chromodomain-helicase-DNA-binding protein 4 OS=Mus musculus GN=Chd4 PE=1 SV=1","Q6PDQ2",218,1.18934812716723e-05,9.18603878462844e-06,2.69459749053721e-06,2.20695499798064e-06
"475","Chromodomain-helicase-DNA-binding protein 5 OS=Mus musculus GN=Chd5 PE=1 SV=1","A2A8L1",223,2.77655194937374e-06,2.86598099663534e-06,0,0
"476","Chromodomain-helicase-DNA-binding protein 7 OS=Mus musculus GN=Chd7 PE=1 SV=1","A2AJK6",334,1.27449137945617e-06,1.78594664101707e-06,0,0
"477","Chromodomain-helicase-DNA-binding protein 8 OS=Mus musculus GN=Chd8 PE=1 SV=1","Q09XV5",291,7.97900882358691e-07,8.78506889690282e-07,0,0
"478","Chromodomain-helicase-DNA-binding protein 9 OS=Mus musculus GN=Chd9 PE=1 SV=2","Q8BYH8",324,7.16633199896231e-07,9.20534225462503e-07,0,0
"479","Chromosome alignment-maintaining phosphoprotein 1 OS=Mus musculus GN=Champ1 PE=1 SV=1","Q8K327",88,1.18733091528262e-05,6.29430220397413e-06,0,0
"480","Chromosome-associated kinesin KIF4 OS=Mus musculus GN=Kif4 PE=1 SV=3","P33174",140,0,0,4.93632145325304e-07,0
"481","Cilia- and flagella-associated protein 20 OS=Mus musculus GN=Cfap20 PE=1 SV=1","Q8BTU1",23,2.18728915794415e-05,0,4.8075478501247e-05,0
"482","Cilia- and flagella-associated protein 65 OS=Mus musculus GN=Cfap65 PE=1 SV=1","Q3V0B4",209,0,0,8.26656702697877e-07,4.93283858058556e-07
"483","Cilia- and flagella-associated protein 91 OS=Mus musculus GN=Maats1 PE=1 SV=3","Q8BRC6",92,0,0,7.51179351581984e-07,0
